shift_code,days_covered,minutes_avg,hours_avg,minutes_min,minutes_max
CAI1,6,440,7.33,270,570
CAI2,6,360,6,270,450
CAI3,6,440,7.33,270,510
CAI4,6,300,5,270,330
CAI5,6,300,5,270,330
CAI6,6,300,5,270,330
