,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL FUNC,,,31.88636364,,,,,,,,,,,,,,,,,,,,,,,,,
,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,TOTAL HS,MÉDIA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,09:00:00,04:30:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188:00:00,46:23:37,
PANIFICAÇÃO,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
TER,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
QUA,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
QUI,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,07:00:00,07:00:00,
SEX,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
SAB,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,,,,,08:00:00,08:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44:00:00,44:00:00,
CONFEITARIA,Número de Funcionários necessário:,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
